Country,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Brazzaville),Cook Islands,Costa Rica,Ivory Coast,Croatia,Cuba,Cyprus,Czech Republic,Congo (Kinshasa),Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,South Korea,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Micronesia,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Burma (Myanmar),Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Moldova,Reunion,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and Grenadines,Samoa,Saint Thomas and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,West Bank and Gaza,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Tajikistan,Thailand,Macedonia (F.Y.R.O.M.),Timor Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,Tanzania,United States,Virgin Islands (U.S.),Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
2000,30,96,90,98,100,46,93,98,96,93,94,100,100,74,97,99,76,98,100,100,85,66,84,79,98,95,94,95,100,60,72,42,62,100,82,93,63,45,95,80,90,90,69,100,95,78,98,91,100,100,47,100,82,95,87,80,96,82,47,51,99,29,91,100,100,86,100,84,83,89,100,71,99,100,97,98,100,84,63,52,86,61,81,98,100,81,78,94,80,96,100,100,94,100,97,94,52,59,93,99,78,46,98,86,79,62,71,91,100,38,63,94,95,47,100,93,88,42,99,89,90,100,56,97,99,78,41,67,79,93,77,100,94,100,79,44,52,99,96,100,84,89,92,90,35,73,80,87,96,98,94,99,85,99,85,95,66,98,94,94,93,78,95,67,99,96,47,100,100,100,80,24,87,,100,80,91,62,89,52,100,100,88,60,92,99,54,54,93,99,93,90,93,60,87,94,56,98,100,100,54,99,100,97,89,76,91,77,60,53,79
2001,32,96,89,98,100,46,94,98,97,93,95,100,100,75,97,99,77,98,100,100,86,67,85,80,98,95,94,95,100,62,72,44,63,100,83,94,63,45,95,82,90,90,70,100,95,78,98,91,100,100,48,100,83,95,87,80,96,83,47,52,99,31,91,100,100,86,100,85,83,90,100,72,99,100,97,98,100,85,64,54,87,61,82,98,100,82,79,94,81,96,100,100,94,100,97,94,53,60,94,99,79,48,98,87,79,63,71,91,100,39,64,94,96,49,100,93,89,43,99,89,90,100,57,97,99,79,42,68,79,93,78,100,94,100,80,45,53,99,96,100,85,89,93,90,36,75,80,87,96,98,94,99,85,99,87,95,67,98,94,94,94,80,95,68,99,96,48,100,100,100,80,24,87,,100,81,89,61,90,54,100,100,88,61,92,99,56,54,94,99,94,91,93,60,87,94,58,98,100,100,54,99,100,97,89,77,91,79,59,54,79
2002,34,96,89,99,100,46,94,98,97,94,95,100,100,76,97,100,78,98,100,100,88,68,87,80,98,95,94,95,100,64,72,46,64,100,84,94,63,46,96,83,90,90,70,100,96,79,98,91,100,100,48,100,84,94,87,81,96,83,47,52,99,33,92,100,100,87,100,86,84,91,100,73,99,100,97,98,100,85,65,56,88,61,82,99,100,83,79,95,81,97,100,100,94,100,97,94,54,60,95,99,80,50,98,88,79,64,,92,100,40,66,95,96,51,100,93,91,45,99,90,90,100,58,97,99,79,43,69,80,94,79,100,94,100,80,46,54,99,96,100,86,89,93,90,36,77,81,88,96,98,,99,86,99,88,95,68,98,95,95,94,82,96,69,99,96,49,100,100,100,80,25,87,,100,82,87,61,90,56,100,100,88,62,93,99,57,55,94,99,94,91,94,60,87,95,60,97,100,100,54,99,100,97,88,78,92,80,59,55,79
2003,36,96,89,99,100,46,94,98,97,94,95,100,100,77,97,100,78,98,100,100,89,69,88,81,98,95,95,95,100,65,73,48,65,100,84,94,64,46,96,84,90,90,71,100,96,79,99,92,100,100,48,100,84,94,87,81,97,84,47,53,99,35,92,100,100,87,100,86,85,92,100,75,99,100,97,98,100,86,66,57,89,61,83,99,100,84,80,95,82,97,100,100,94,100,97,94,54,61,95,99,81,52,98,89,80,65,,92,100,40,68,95,96,53,100,94,93,46,99,90,90,100,59,98,99,80,43,70,81,94,80,100,95,100,81,47,55,99,96,100,86,89,94,91,36,79,81,88,97,99,,100,86,99,89,95,68,98,95,95,95,84,96,70,99,96,50,100,100,100,80,26,88,,100,83,85,60,91,57,100,100,88,63,93,99,58,55,95,99,94,92,95,60,87,95,61,97,100,100,55,99,100,98,88,80,92,82,58,56,79
2004,37,96,88,99,100,46,94,98,97,95,96,100,100,78,97,100,79,98,100,100,90,69,89,82,98,95,95,95,100,67,73,51,66,100,85,95,64,47,96,85,90,90,71,100,96,79,99,92,100,100,49,100,85,94,87,82,97,85,47,53,99,36,93,100,100,88,100,87,85,92,100,76,99,100,97,99,100,87,67,59,89,61,84,99,100,85,81,95,82,97,100,100,94,100,97,94,55,62,96,99,82,55,99,91,80,66,,93,100,41,70,95,97,55,100,94,94,47,99,91,90,100,60,98,99,80,44,71,82,94,81,100,95,100,81,48,57,99,96,100,87,89,94,91,37,81,82,88,97,99,,100,86,99,90,96,69,98,95,95,95,85,96,70,99,96,51,100,100,100,80,27,88,,100,84,82,59,91,59,100,100,89,64,94,99,60,56,96,99,94,92,95,60,87,96,63,97,100,100,55,99,100,98,88,81,92,83,57,56,79
2005,39,96,88,100,100,46,94,98,97,96,96,100,100,79,97,100,80,98,100,100,91,70,90,83,98,95,95,95,100,69,73,53,67,100,86,95,65,47,97,86,91,90,72,100,96,79,99,92,100,100,49,100,86,94,87,82,97,86,47,54,99,38,93,100,100,88,100,88,86,93,100,77,99,100,97,99,100,87,68,61,90,61,85,99,100,86,81,95,83,97,100,100,94,100,97,94,56,62,96,99,82,57,99,92,80,67,,93,100,42,72,96,97,57,100,94,96,48,100,91,90,100,60,98,99,81,45,72,83,94,82,100,96,100,82,49,58,99,96,100,88,90,94,91,37,82,82,89,97,99,,100,86,99,91,96,70,98,95,95,96,87,97,71,99,96,52,100,100,100,80,28,89,,100,85,80,59,92,61,100,100,89,65,94,99,61,57,96,99,94,93,96,60,87,96,65,97,100,100,55,99,100,98,88,82,92,85,57,57,79
2006,41,96,87,100,100,46,94,98,98,96,96,100,100,79,98,100,81,99,100,100,92,71,92,84,99,95,96,95,100,71,74,55,68,100,86,95,65,48,97,87,91,90,72,100,96,80,99,92,100,100,49,100,86,94,86,83,97,87,47,54,99,40,93,100,100,89,100,89,87,94,100,78,100,100,97,99,100,88,69,63,91,60,85,99,100,87,82,95,83,97,100,100,94,100,97,93,57,63,97,99,83,59,99,93,80,68,,93,100,43,74,96,97,59,100,94,98,50,100,92,90,100,61,98,99,81,46,74,84,95,83,100,96,100,83,50,59,99,97,100,89,90,95,92,38,84,83,89,97,99,,100,86,99,92,96,70,98,95,95,96,89,97,72,99,96,53,100,100,100,80,30,89,,100,87,78,58,92,63,100,100,89,66,95,99,62,57,97,99,94,94,96,60,87,96,66,97,100,100,55,99,100,98,88,84,92,86,56,58,79
2007,43,96,87,100,100,46,94,98,98,97,97,100,100,80,98,100,81,99,100,100,94,72,93,85,99,96,96,95,100,73,74,57,69,100,87,96,66,48,97,89,91,90,73,100,97,80,99,93,100,100,50,100,87,94,86,83,98,88,47,55,99,42,94,100,100,90,100,89,87,95,100,80,100,100,97,99,100,89,70,64,92,60,86,100,100,87,83,95,84,97,100,100,94,100,97,93,58,64,97,99,84,61,99,94,80,69,,94,100,44,76,96,98,61,100,94,99,51,100,93,90,100,62,98,99,82,46,75,85,95,84,100,97,100,83,51,60,99,97,100,89,90,95,92,38,85,83,89,97,99,,100,87,99,94,96,71,98,95,95,96,90,97,73,99,96,54,100,100,100,80,31,90,,100,88,76,57,93,65,100,100,89,67,95,99,64,58,97,99,95,94,97,,87,97,68,97,100,100,55,99,100,98,88,85,92,87,55,59,78
2008,44,96,87,100,100,47,94,98,98,97,97,100,100,81,98,100,82,99,100,100,95,73,94,85,99,96,96,,100,75,74,60,70,100,88,96,66,49,98,90,91,90,73,100,97,80,99,93,100,100,50,100,88,,86,84,98,89,47,55,99,44,94,100,100,90,100,90,88,95,100,81,100,100,97,99,100,89,71,66,93,60,87,100,100,88,83,96,84,97,100,100,94,100,97,93,59,64,98,99,85,63,99,95,81,69,,94,100,45,77,97,98,63,100,94,100,52,100,93,89,100,62,99,99,83,47,76,86,95,85,100,97,100,84,52,61,99,97,100,90,90,95,92,38,87,84,90,97,99,,100,87,99,95,96,72,98,95,95,97,92,97,73,99,96,55,100,100,100,80,31,90,,100,89,74,56,93,67,100,100,89,68,96,99,65,59,98,99,95,95,98,,,97,69,97,100,100,55,99,100,99,87,86,92,89,54,60,78
2009,46,96,86,100,100,47,94,98,98,98,97,100,100,82,98,100,83,99,100,100,96,74,95,86,99,96,97,,100,76,74,62,71,100,88,96,67,49,98,91,91,90,74,100,97,80,99,93,100,100,50,100,89,,86,84,98,89,48,56,99,46,95,100,100,91,100,91,88,96,100,82,100,100,97,99,100,90,72,68,93,60,87,100,100,89,84,96,85,97,100,100,94,100,97,93,59,65,98,99,85,65,99,97,81,70,,95,100,46,79,97,98,65,100,94,100,53,100,94,89,100,63,99,99,83,48,77,87,95,86,100,98,100,84,53,62,99,97,100,91,90,95,93,39,89,84,90,98,100,,100,87,99,96,96,72,98,96,95,97,94,97,74,99,96,56,100,100,100,80,31,91,,100,90,72,56,94,69,100,100,90,69,96,99,67,59,99,99,95,95,98,,,98,71,97,100,100,55,99,100,99,87,87,93,90,55,61,78
2010,48,96,86,100,100,47,95,98,98,98,97,100,100,83,98,100,84,99,100,100,97,75,96,87,99,96,97,,100,78,75,64,72,100,89,97,67,50,98,91,91,90,74,100,97,81,99,94,100,100,51,100,89,,86,85,98,90,48,56,100,48,95,100,100,91,100,91,89,97,100,83,100,100,97,99,100,91,73,70,94,59,88,100,100,90,85,96,85,97,100,100,94,100,97,93,60,65,98,99,86,68,99,98,81,71,,95,100,47,81,97,98,67,100,94,100,54,100,94,89,100,63,99,99,84,49,78,87,96,87,100,98,100,85,54,63,99,97,100,92,91,95,93,39,90,85,90,98,100,,100,87,99,97,96,73,98,96,95,98,95,97,75,99,96,57,100,100,100,80,31,91,,100,91,70,55,94,70,100,100,90,70,96,99,68,60,99,99,95,96,99,,,98,73,97,100,100,55,99,100,99,87,88,93,91,55,61,78
2011,50,96,85,100,100,48,95,98,98,99,98,100,100,84,98,100,84,99,100,100,99,75,97,88,99,96,97,,100,80,75,67,73,100,90,97,68,50,99,92,91,90,75,100,97,81,99,94,100,100,51,100,90,,86,85,99,91,48,57,100,50,96,100,100,91,100,92,90,98,100,84,100,100,97,99,100,91,74,72,95,59,89,100,100,91,85,96,86,98,100,100,94,100,97,93,61,66,98,99,87,70,99,99,81,72,,95,100,48,83,98,99,69,100,94,100,56,100,95,89,100,63,99,99,84,49,79,88,96,88,100,99,100,86,55,65,99,97,100,93,91,95,93,40,92,85,91,98,100,,100,88,99,98,97,74,98,96,95,98,97,97,76,99,96,59,100,100,100,81,32,92,59,100,92,67,55,94,72,100,100,90,71,97,99,70,61,100,99,95,96,99,,,98,74,97,100,100,55,99,100,99,87,90,93,93,55,62,78
2012,52,95,85,100,100,48,95,98,99,100,98,100,100,85,98,100,85,99,100,100,99,76,98,89,100,96,98,,100,82,75,69,74,100,90,97,68,51,99,93,91,90,75,100,98,81,99,94,100,100,51,100,90,,85,86,99,92,48,58,100,52,96,100,100,91,100,92,90,98,100,85,100,100,97,99,100,92,75,74,96,59,89,100,100,92,86,96,86,98,100,100,94,100,97,93,62,67,98,99,88,72,99,99,81,73,,96,100,49,85,98,99,71,100,95,100,57,100,95,89,100,64,99,99,85,50,80,89,96,89,100,99,100,86,56,66,99,98,100,93,91,,94,40,93,86,91,98,100,,100,88,99,99,97,74,98,96,95,99,97,97,76,99,96,60,100,100,100,81,,92,59,100,93,65,56,95,74,100,100,90,72,97,99,71,61,100,99,95,97,100,,,98,76,97,100,100,55,99,100,99,87,91,93,94,55,63,78
2013,53,95,85,100,100,48,95,98,99,100,98,100,100,85,98,100,86,100,100,100,100,77,99,89,100,96,98,,100,82,76,71,75,100,91,97,68,51,99,94,91,90,76,100,98,82,100,94,100,100,52,100,90,,85,86,99,92,48,58,100,54,96,100,100,91,100,93,90,99,100,87,100,100,97,99,100,93,76,76,97,58,90,100,100,93,86,96,87,98,100,100,94,100,97,93,62,67,,99,88,74,99,99,81,74,,96,100,50,87,98,99,73,100,95,100,58,100,96,89,100,64,99,99,85,51,80,90,97,90,100,99,100,87,57,67,99,98,100,93,91,,94,40,95,86,91,98,100,,100,88,99,100,97,75,98,96,95,99,97,97,77,99,96,61,100,100,100,81,,92,59,100,95,63,56,95,74,100,100,90,73,98,99,71,62,100,100,95,97,100,,,98,77,96,100,100,55,99,100,100,,92,93,95,,64,77
2014,55,95,84,100,100,49,95,98,99,100,98,100,100,86,98,100,86,100,100,100,100,78,100,90,100,96,98,,99,82,76,73,75,100,92,97,68,51,99,95,91,90,76,100,98,82,100,95,100,100,52,100,90,,85,87,99,93,48,58,100,55,96,100,100,92,100,93,90,100,100,88,100,100,97,99,100,93,77,77,98,58,91,100,100,94,87,96,87,98,100,100,94,100,97,93,63,67,,99,89,76,99,99,82,75,,97,100,51,88,98,99,75,100,95,100,58,100,96,89,100,64,100,99,85,51,81,90,97,91,100,99,100,87,58,68,99,98,100,93,91,,94,40,97,86,92,98,100,,100,88,99,100,97,76,98,96,95,99,97,97,78,99,96,62,100,100,100,81,,93,59,100,96,61,56,95,74,100,100,90,74,98,99,72,62,100,100,95,98,100,,,98,79,96,100,100,56,99,100,100,,93,93,96,,65,77
2015,55,95,84,100,100,49,95,98,99,100,98,100,100,87,98,100,87,100,100,100,100,78,100,90,100,96,98,,99,82,76,76,76,100,92,97,69,51,99,96,91,90,77,100,98,82,100,95,100,100,52,100,90,,85,87,99,94,48,58,100,57,96,100,100,,100,93,90,100,100,89,100,100,97,99,100,93,77,79,98,58,91,100,100,94,87,96,87,98,100,100,94,100,97,93,63,67,,99,90,76,99,99,82,76,,97,100,52,90,98,99,77,100,95,100,58,100,96,89,100,64,100,99,85,51,81,91,97,92,100,99,100,87,58,69,99,98,100,93,91,,95,40,98,87,92,98,100,,100,88,99,100,97,76,98,96,95,99,97,97,79,99,96,63,100,100,100,81,,93,59,100,96,58,,95,74,100,100,90,74,98,99,72,63,100,100,95,98,100,,,98,79,96,100,100,56,99,100,100,,95,93,98,,65,77
