Country,2008,2009,2010,2011,2012,2013,2014,2015
Oman,11,12,12,13,14,14,14,14
Norway,4,3,3,3,3,3,3,3
"Northern Mariana Islands",..,..,..,..,..,..,..,..
Nigeria,52000,57000,57000,55000,56000,57000,58000,58000
Niger,5200,5300,5400,5400,5500,5500,5400,5400
Nicaragua,220,220,210,190,200,200,190,180
"New Zealand",8,8,8,8,7,7,7,7
"New Caledonia",..,..,..,..,..,..,..,..
Netherlands,16,15,14,14,13,13,12,12
Nepal,2500,2300,2200,2000,1800,1700,1600,1500
Nauru,..,..,..,..,..,..,..,..
Namibia,210,210,210,210,210,200,200,190
"Burma (Myanmar)",2300,2200,2100,2000,1900,1800,1700,1700
Mozambique,6600,6300,6200,6100,5800,5600,5400,5300
Morocco,1100,1100,1000,1000,960,920,890,850
Montenegro,1,1,1,1,1,1,1,1
Mongolia,44,43,41,39,37,34,32,30
Monaco,..,..,..,..,..,..,..,..
Moldova,16,15,15,11,12,11,10,10
Micronesia,3,3,3,3,3,3,3,2
Mexico,1200,1300,1100,1000,990,980,930,890
Mauritius,7,8,9,8,8,8,8,7
Mauritania,900,910,910,900,880,860,830,810
"Marshall Islands",..,..,..,..,..,..,..,..
Mali,4500,4400,4400,4400,4400,4500,4500,4400
Maldives,7,7,6,6,6,5,5,5
Malaysia,220,230,230,220,220,210,210,200
Malawi,3700,3800,3800,3800,3900,4100,4200,4200
Madagascar,3400,3300,3300,3200,3100,3100,3000,2900
"Macedonia (F.Y.R.O.M.)",2,2,2,2,2,2,2,2
Macau,..,..,..,..,..,..,..,..
Luxembourg,1,1,1,1,1,1,1,1
Lithuania,4,3,3,3,3,3,3,3
Liechtenstein,..,..,..,..,..,..,..,..
Libya,12,12,12,12,12,12,12,12
Liberia,1200,1200,1200,1200,1200,1200,1100,1100
Lesotho,380,360,340,330,330,320,310,300
Lebanon,12,12,12,12,13,13,13,13
Latvia,4,4,4,4,4,4,4,4
Laos,590,550,520,480,440,410,380,350
Kyrgyzstan,120,120,120,130,120,120,120,120
Kuwait,3,3,3,3,3,3,3,3
Kosovo,..,..,..,..,..,..,..,..
"South Korea",66,70,68,65,60,56,53,50
Kiribati,3,3,3,3,3,3,3,3
Kenya,9500,9300,9000,8800,8600,8300,8200,8000
Kazakhstan,110,87,76,64,56,51,47,45
Jordan,100,100,110,110,110,120,120,110
Japan,67,64,61,61,61,59,57,56
Jamaica,47,47,46,46,45,44,44,43
Italy,22,23,21,21,20,19,19,18
Israel,9,10,9,9,9,9,9,9
"Isle of Man",..,..,..,..,..,..,..,..
Ireland,6,6,5,6,6,5,5,5
Iraq,540,550,570,580,590,600,610,620
Iran,380,370,370,370,360,360,350,340
Indonesia,9100,8700,8400,8000,7600,7200,6800,6400
India,64000,60000,57000,54000,52000,49000,47000,45000
Hungary,15,15,14,15,15,15,15,15
"Hong Kong",..,..,..,..,..,..,..,..
Honduras,280,280,270,260,240,230,220,220
Haiti,1100,1100,1000,980,990,980,970,950
Guyana,29,25,34,34,34,34,34,34
"Guinea Bissau",370,360,360,360,360,370,370,370
Guinea,3100,3100,3100,3100,3100,3100,3100,3100
Guatemala,490,480,460,440,450,430,400,380
Guam,..,..,..,..,..,..,..,..
Grenada,1,1,1,1,1,1,1,1
Greenland,..,..,..,..,..,..,..,..
Greece,4,4,4,4,3,3,3,3
Gibraltar,..,..,..,..,..,..,..,..
Ghana,2600,2600,2700,2700,2800,2800,2800,2800
Germany,46,47,46,45,44,44,43,42
Georgia,22,23,23,23,22,21,20,19
Gambia,540,550,550,570,580,580,580,590
Gabon,160,160,160,160,160,160,150,150
"French Polynesia",..,..,..,..,..,..,..,..
France,79,79,72,69,69,69,68,66
Finland,2,2,2,2,2,2,2,2
Fiji,7,7,6,6,6,6,6,5
"Faroe Islands",..,..,..,..,..,..,..,..
Ethiopia,18000,17000,16000,15000,14000,13000,12000,11000
Estonia,2,2,1,1,1,1,1,1
Eritrea,1000,1000,1000,970,940,930,920,880
"Equatorial Guinea",100,100,100,99,100,100,100,100
"El Salvador",67,70,65,66,61,59,58,57
Egypt,920,920,910,900,890,870,850,820
Ecuador,220,230,240,260,240,230,220,210
"Dominican Republic",190,230,170,250,140,230,210,200
Dominica,..,..,..,..,..,..,..,..
Djibouti,69,64,61,59,57,54,52,50
Denmark,5,5,5,5,4,4,4,4
"Czech Republic",6,6,5,5,5,5,5,5
Cyprus,1,1,1,1,1,1,1,1
Curacao,..,..,..,..,..,..,..,..
Cuba,53,53,54,52,49,48,47,45
Croatia,5,5,4,4,4,4,4,3
"Ivory Coast",5500,5500,5500,5600,5700,5600,5500,5400
"Costa Rica",22,23,21,20,19,19,18,18
"Congo (Brazzaville)",790,790,790,780,770,760,750,740
"Congo (Kinshasa)",22000,22000,23000,23000,23000,23000,23000,22000
Comoros,97,97,96,95,93,91,90,88
Colombia,580,580,560,530,510,510,490,480
China,6500,6200,5800,5500,5200,4900,4600,4400
Chile,66,65,62,59,57,55,53,52
"Channel Islands",..,..,..,..,..,..,..,..
Chad,5800,5900,5800,5700,5500,5400,5400,5400
"Central African Republic",1500,1400,1400,1400,1400,1400,1400,1400
"Cayman Islands",..,..,..,..,..,..,..,..
Canada,32,32,31,30,29,28,28,27
Cameroon,5500,5500,5400,5300,5200,5100,5100,5100
Cambodia,860,790,740,690,660,640,620,590
"Cape Verde",6,6,6,5,5,5,5,5
Burundi,3300,3400,3400,3500,3500,3500,3500,3500
"Burkina Faso",2800,2800,2800,2700,2700,2700,2700,2700
Bulgaria,9,8,8,8,7,7,7,7
Brunei,2,2,2,2,2,2,2,2
"British Virgin Islands",..,..,..,..,..,..,..,..
Brazil,2100,2000,2000,1800,1800,1500,1400,1300
Botswana,100,97,89,85,83,77,74,72
"Bosnia and Herzegovina",5,5,5,4,4,4,4,4
Bolivia,700,670,640,610,580,560,540,520
Bhutan,36,32,29,27,25,23,21,20
Bermuda,..,..,..,..,..,..,..,..
Benin,1600,1600,1600,1600,1600,1600,1600,1600
Belize,3,3,3,3,3,2,2,2
Belgium,10,10,10,10,9,9,9,9
Belarus,7,6,6,6,5,5,5,5
Barbados,1,1,1,1,1,1,1,1
Bangladesh,9000,8400,7800,7300,6800,6400,5900,5500
Bahrain,3,3,3,3,3,3,3,3
Bahamas,4,4,5,5,5,5,5,5
Azerbaijan,53,52,54,52,50,51,50,48
Austria,3,3,3,3,3,3,3,3
Australia,19,20,20,20,20,20,19,19
Aruba,..,..,..,..,..,..,..,..
Armenia,16,15,14,12,12,11,10,10
Argentina,420,460,430,420,420,410,400,390
"Antigua and Barbuda",..,..,..,..,..,..,..,..
Angola,5800,5700,5700,5600,5600,5500,5400,5400
Andorra,..,..,..,..,..,..,..,..
"American Samoa",..,..,..,..,..,..,..,..
Algeria,1200,1300,1300,1300,1400,1400,1300,1300
Albania,10,10,11,11,11,11,11,11
Afghanistan,7500,7000,6400,5900,5400,5000,4600,4300
