Country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Chile,1,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,4,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
China,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Colombia,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,4,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
Comoros,-,-,-,5,5,4,5,4,4,4,4,4,5,6,6,6,6,6,5,4,4,4,4,4,4,5,5,6,6,6,5,5,4,4,3,4,3,3,3,3,3,3,3,3,3
"Congo (Brazzaville)",7,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,3,3,4,4,4,7,7,6,6,5,6,5,5,5,6,6,6,6,6,6,6,6,6,6,7
"Congo (Kinshasa)",7,7,7,7,7,6,6,6,6,6,6,6,6,7,7,6,6,7,6,6,6,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,7
"Costa Rica",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ivory Coast",6,6,6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,7,7,6,6,7,6,5,5,5,4,4
Croatia,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,3,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
Cuba,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Cyprus,2,2,4,4,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Czech Republic",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Czechoslovakia,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Denmark,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Djibouti,-,-,-,-,-,3,3,3,3,5,5,5,5,6,6,6,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6
Dominica,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dominican Republic",3,3,4,4,4,4,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,3,4,4,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3
Ecuador,7,7,7,7,6,6,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Egypt,6,6,6,6,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6
"El Salvador",2,2,2,2,3,4,5,5,5,4,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Equatorial Guinea",6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Eritrea,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Estonia,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ethiopia,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,6,6,6,6,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7
Fiji,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,5,6,6,6,4,4,4,4,4,4,4,2,6,4,4,4,4,4,6,6,6,6,6,6,6,6,3,3,3
Finland,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
France,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gabon,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6
Gambia,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,1,2,7,7,7,7,7,7,7,5,4,4,4,5,5,5,5,5,5,6,6,6,6,7,6
Georgia,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,6,4,5,5,4,4,3,3,3,4,4,4,4,3,3,3,4,4,4,4,4,3,3,3,3,3
Germany,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"East Germany",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"West Germany",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ghana,6,7,7,7,7,6,5,4,2,6,6,6,7,7,7,7,6,6,6,6,5,5,5,4,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
Greece,6,7,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
Grenada,-,-,2,2,2,2,2,5,6,6,6.5,7,5,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guatemala,2,2,4,4,4,3,3,4,6,6,6,6,5,4,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,4,4,4,4,3,3,3,4,4,3,3,3,3,4,4
Guinea,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,5,5,5,5,5,5,5
"Guinea Bissau",-,-,6,6,6,6,6,6,6,6,6.5,7,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,4,4,4,6,4,3,4,4,4,4,4,4,6,6,5,5,5
Guyana,2,4,7,4,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2
Haiti,7,6,6,6,6,7,7,7,7,7,7,7,7,7,5,6,7,7,4,7,7,7,5,5,4,4,5,5,6,6,6,6,7,7,4,4,4,4,4,4,4,4,5,5,5
Honduras,7,6,6,6,6,6,6,6,4,2,2.5,3,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
Hungary,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3
Iceland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
India,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Indonesia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,7,7,7,7,7,6,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
Iran,5,5,5,6,6,6,5,5,5,6,6,6,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Iraq,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,5,5,5,6,5,6,5,5
Ireland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Israel,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Italy,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
Jamaica,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Japan,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jordan,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,6,5,5,4,3,4,4,4,4,4,4,4,4,5,6,5,5,5,5,5,5,6,6,6,6,6,6,6,5
Kazakhstan,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7
Kenya,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,4,5,6,7,7,6,6,6,6,6,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4
Kiribati,-,-,-,-,-,-,-,2,2,2,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kosovo,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,4,3,3
Kuwait,4,4,4,4,6,6,6,6,6,4,4,4,4,4,6,6,6,6,7,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
Kyrgyzstan,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,5,4,5,4,4,4,4,5,5,6,6,6,6,6,5,5,5,5,6,5,5,5,5,5,5,5
Laos,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Latvia,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,2,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1
Lebanon,2,2,2,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5
Lesotho,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,3,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,3,3,3,2,2,2,3,3
Liberia,6,6,6,6,6,6,6,6,6,6,5.5,5,6,5,5,5,5,6,7,7,7,6,7,7,7,4,4,4,5,6,6,6,5,4,3,3,3,3,3,3,3,3,3,3,3
Libya,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,6,6,7
Liechtenstein,4,4,4,4,4,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Lithuania,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
Luxembourg,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Macedonia (F.Y.R.O.M.)",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4
Madagascar,5,5,5,5,6,5,6,6,6,6,5.5,5,5,5,5,5,5,5,4,4,4,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,6,6,6,6,5,4,3,3
Malawi,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,7,7,7,6,6,2,2,2,2,2,3,3,4,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3
Malaysia,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
Maldives,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,3,3,3,5,4,4,4,5
Mali,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,7,5,5,5,5
Malta,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Marshall Islands",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mauritania,6,6,5,6,6,6,6,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,6,6,6,6,6,6,5,5,6,6,6,5,4,6,6,6,6,6,6,6,6,6
Mauritius,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mexico,5,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
Micronesia,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Moldova,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,5,5,5,4,4,3,3,2,2,2,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
Monaco,4,4,4,4,4,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
Mongolia,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
Montenegro,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3
Morocco,5,5,5,5,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Mozambique,-,-,-,6,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
"Burma (Myanmar)",7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,5
Namibia,6,6,6,-,-,-,-,-,-,-,,-,-,-,-,-,-,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Nauru,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
Nepal,6,6,6,6,6,6,6,5,3,3,3,3,3,3,3,3,3,4,4,2,2,3,3,3,3,3,3,3,3,3,4,5,5,6,5,5,4,4,4,4,4,4,3,3,3
Netherlands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"New Zealand",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nicaragua,4,5,5,5,5,5,5,5,5,6,6,6,5,5,5,5,5,5,3,3,4,4,4,4,3,3,2,3,3,3,3,3,3,3,3,3,4,4,4,5,5,4,4,4,5
Niger,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,6,5,3,3,3,7,7,7,5,4,4,4,4,3,3,3,3,3,5,5,3,3,3,3,3,4
Nigeria,6,6,6,6,6,5,5,2,2,2,2,2,7,7,7,6,5,6,5,5,5,7,7,7,7,7,6,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,3
"North Korea",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Norway,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Oman,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Pakistan,3,3,3,5,4,6,6,6,7,7,7,7,7,4,4,4,3,3,4,4,4,3,3,3,4,4,4,7,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4
Palau,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Panama,7,7,7,7,7,6,5,5,4,5,5,5,4,6,6,5,6,7,4,4,4,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
"Papua New Guinea",-,-,-,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,3,4,4,3
Paraguay,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Peru,7,7,6,6,6,6,5,5,2,2,2,2,2,2,2,2,2,2,3,3,6,5,5,5,4,5,5,5,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Philippines,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,3,3,3,3,3,3,3
Poland,6,6,6,6,6,6,6,6,6,7,6.5,6,6,6,6,5,5,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Portugal,5,5,5,5,2,2,2,2,2,2,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Qatar,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Romania,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,4,4,4,4,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2
